inventory_id,warehouse_id,product_id,stock_quantity,reorder_level
1,1,1,97,50
2,1,2,196,50
3,1,3,32,50
4,1,4,267,50
5,1,5,73,50
6,1,6,171,50
7,1,7,232,50
8,1,8,491,50
9,1,9,63,50
10,1,10,79,50
11,1,11,445,50
12,1,12,393,50
13,1,13,92,50
14,1,14,198,50
15,1,15,179,50
16,1,16,195,50
17,1,17,253,50
18,1,18,421,50
19,1,19,125,50
20,1,20,286,50
21,1,21,267,50
22,1,22,198,50
23,1,23,263,50
24,1,24,69,50
25,1,25,244,50
26,1,26,389,50
27,1,27,376,50
28,1,28,251,50
29,1,29,183,50
30,1,30,54,50
31,1,31,173,50
32,1,32,42,50
33,1,33,434,50
34,1,34,383,50
35,1,35,78,50
36,1,36,31,50
37,1,37,454,50
38,1,38,195,50
39,1,39,351,50
40,1,40,75,50
41,1,41,366,50
42,1,42,429,50
43,1,43,104,50
44,1,44,496,50
45,1,45,399,50
46,1,46,144,50
47,1,47,284,50
48,1,48,109,50
49,1,49,302,50
50,1,50,101,50
51,1,51,189,50
52,1,52,306,50
53,1,53,238,50
54,1,54,256,50
55,1,55,138,50
56,1,56,428,50
57,1,57,227,50
58,1,58,342,50
59,1,59,114,50
60,1,60,115,50
61,1,61,347,50
62,1,62,356,50
63,1,63,241,50
64,1,64,222,50
65,1,65,34,50
66,1,66,397,50
67,1,67,334,50
68,1,68,472,50
69,1,69,121,50
70,1,70,250,50
71,1,71,323,50
72,1,72,239,50
73,1,73,219,50
74,1,74,22,50
75,1,75,380,50
76,1,76,129,50
77,1,77,125,50
78,1,78,162,50
79,1,79,405,50
80,1,80,380,50
81,1,81,434,50
82,1,82,427,50
83,1,83,52,50
84,1,84,315,50
85,1,85,72,50
86,1,86,429,50
87,1,87,466,50
88,1,88,294,50
89,1,89,115,50
90,1,90,207,50
91,1,91,186,50
92,1,92,120,50
93,1,93,254,50
94,1,94,78,50
95,1,95,154,50
96,1,96,363,50
97,1,97,461,50
98,1,98,270,50
99,1,99,290,50
