order_item_id,order_id,product_id,quantity,unit_price,discount,sales,profit
1,1,148,2,2839.22,5.92,5672.52,2010.52
2,1,175,1,4435.81,15.16,4420.65,871.65
3,1,156,3,6188.4,19.13,18546.07,5940.07
4,2,190,4,3100.22,0.23,12400.65,3724.65
5,2,186,2,7914.83,18.44,15811.22,5909.22
6,3,105,1,4856.31,4.37,4851.94,872.94
7,3,105,4,4856.31,0.68,19424.56,3508.56
8,3,114,4,4077.29,17.81,16291.35,5959.35
9,4,120,1,1361.78,15.14,1346.64,439.64
10,4,145,4,792.87,2.89,3168.59,932.59
11,5,151,2,2964.55,17.59,5911.51,559.51
12,5,114,1,4077.29,13.4,4063.89,1480.89
13,6,195,2,3047.63,19.77,6075.49,1809.49
14,6,142,4,5775.74,3.45,23099.51,4187.51
15,7,105,2,4856.31,5.75,9706.87,1748.87
16,8,176,2,3397.33,1.04,6793.62,2471.62
17,9,151,2,2964.55,5.04,5924.06,572.06
18,9,103,1,5536.18,16.69,5519.49,1123.49
19,9,97,3,6749.43,14.15,20234.14,7553.14
20,10,103,3,5536.18,13.09,16595.45,3407.45
21,11,138,4,5451.69,6.46,21800.3,7292.3
22,11,79,1,789.02,2.73,786.29,214.29
23,12,184,1,2633.24,0.66,2632.58,547.58
24,12,68,3,2309.06,10.62,6916.56,1189.56
25,13,74,4,2434.43,15.6,9722.12,2698.12
26,13,28,1,5032.36,19.24,5013.12,1531.12
27,14,3,3,7696.6,3.33,23086.47,8104.47
28,14,80,2,4102.63,10.59,8194.67,1508.67
29,14,64,4,7118.68,8.2,28466.52,8982.52
30,15,94,3,5544.85,16.01,16618.54,1723.54
31,16,141,4,3818.5,10.89,15263.11,1859.11
32,16,47,1,5349.54,4.57,5344.97,1348.97
33,17,44,1,2260.37,4.98,2255.39,248.39
34,18,9,1,3616.76,12.43,3604.33,1213.33
35,18,84,4,1792.84,19.29,7152.07,2316.07
36,19,199,2,7009.81,10.8,14008.82,4298.82
37,19,135,4,4537.82,3.19,18148.09,1764.09
38,19,128,2,2167.32,16.53,4318.11,1362.11
39,20,41,3,2657.03,11.35,7959.74,2694.74
40,20,45,1,4565.43,9.48,4555.95,586.95
41,21,80,3,4102.63,2.3,12305.59,2276.59
42,21,50,2,5429.37,10.84,10847.9,3801.9
43,22,2,1,3361.74,6.48,3355.26,365.26
44,22,46,4,7321.91,6.24,29281.4,10849.4
45,23,6,2,3476.76,13.62,6939.9,745.9
46,24,193,1,5092.0,1.65,5090.35,537.35
47,24,93,3,278.24,7.33,827.39,143.39
48,24,102,3,6271.36,10.6,18803.48,4844.48
49,25,179,1,4824.55,1.11,4823.44,1611.44
50,25,104,4,1652.43,2.63,6607.09,1319.09
51,25,167,1,6421.3,15.6,6405.7,1743.7
52,26,175,4,4435.81,5.06,17738.18,3542.18
53,26,14,2,488.44,17.35,959.53,123.53
54,27,137,3,7130.26,5.85,21384.93,7920.93
55,27,49,2,5840.98,0.27,11681.69,2075.69
56,28,127,2,6494.51,18.04,12970.98,4766.98
