order_id,customer_id,payment_id,shipping_id,order_date
1,558,1,1,2025-12-03
2,185,2,2,2026-06-29
3,798,3,3,2026-03-06
4,599,4,4,2025-06-11
5,247,5,5,2025-03-14
6,867,6,6,2025-11-08
7,607,7,7,2026-04-25
8,578,8,8,2026-08-02
9,317,9,9,2026-01-22
10,239,10,10,2026-05-14
11,340,11,11,2025-09-26
12,182,12,12,2026-06-21
13,722,13,13,2025-01-09
14,722,14,14,2025-03-04
15,331,15,15,2025-02-20
16,325,16,16,2026-03-23
17,604,17,17,2026-07-15
18,182,18,18,2025-10-18
19,617,19,19,2025-02-09
20,145,20,20,2025-12-30
21,172,21,21,2025-10-04
22,215,22,22,2024-12-11
23,111,23,23,2024-12-22
24,430,24,24,2025-10-09
25,560,25,25,2026-03-28
26,463,26,26,2025-01-26
27,268,27,27,2024-10-21
28,165,28,28,2025-05-14
29,629,29,29,2026-07-04
30,912,30,30,2026-05-16
31,211,31,31,2025-09-22
32,244,32,32,2025-09-20
33,56,33,33,2025-09-21
34,844,34,34,2025-08-15
35,212,35,35,2026-03-14
36,119,36,36,2026-02-24
37,272,37,37,2026-07-06
38,907,38,38,2025-09-05
39,270,39,39,2025-07-07
40,276,40,40,2026-05-10
41,685,41,41,2025-10-17
42,63,42,42,2025-04-03
43,903,43,43,2024-11-16
44,925,44,44,2025-09-08
45,460,45,45,2026-07-13
46,44,46,46,2025-02-12
47,643,47,47,2025-03-26
48,937,48,48,2026-05-01
49,334,49,49,2025-11-08
50,718,50,50,2026-07-17
51,154,51,51,2026-04-22
52,799,52,52,2024-08-22
53,393,53,53,2024-11-15
54,283,54,54,2024-12-17
55,911,55,55,2025-10-07
56,919,56,56,2025-11-02
57,288,57,57,2026-05-16
58,998,58,58,2025-06-20
59,662,59,59,2025-04-28
60,417,60,60,2025-01-09
61,811,61,61,2026-05-20
62,139,62,62,2025-08-05
63,897,63,63,2025-04-20
64,52,64,64,2025-10-06
65,476,65,65,2026-03-24
66,382,66,66,2025-06-04
67,486,67,67,2025-09-07
68,858,68,68,2025-09-16
69,51,69,69,2024-09-24
70,231,70,70,2026-06-01
71,800,71,71,2025-09-06
72,821,72,72,2025-11-22
73,991,73,73,2026-03-17
74,259,74,74,2026-03-12
75,105,75,75,2025-03-05
76,701,76,76,2025-07-12
77,656,77,77,2025-09-08
78,154,78,78,2024-12-22
79,328,79,79,2026-03-08
80,929,80,80,2025-02-14
81,726,81,81,2025-08-01
82,548,82,82,2026-04-17
83,674,83,83,2026-07-28
84,132,84,84,2024-10-22
85,92,85,85,2025-11-02
86,808,86,86,2026-07-19
87,872,87,87,2026-06-15
88,911,88,88,2026-01-31
89,306,89,89,2025-04-29
90,351,90,90,2025-12-14
91,884,91,91,2026-04-04
92,182,92,92,2025-11-14
93,215,93,93,2025-03-25
94,782,94,94,2024-11-01
95,440,95,95,2025-01-16
96,205,96,96,2025-10-07
97,693,97,97,2026-05-04
98,133,98,98,2025-09-17
99,844,99,99,2026-07-17
100,533,100,100,2026-06-04
101,138,101,101,2025-03-02
102,971,102,102,2026-03-01
103,135,103,103,2026-03-01
104,729,104,104,2025-01-08
105,50,105,105,2026-03-11
106,455,106,106,2025-08-23
107,157,107,107,2025-11-19
108,104,108,108,2026-03-25
109,921,109,109,2024-10-30
110,804,110,110,2025-02-27
111,270,111,111,2024-12-17
112,165,112,112,2025-08-17
113,956,113,113,2026-05-16
114,688,114,114,2024-08-29
115,799,115,115,2026-03-18
116,237,116,116,2024-09-24
117,103,117,117,2025-03-10
118,694,118,118,2025-09-23
119,777,119,119,2024-08-21
120,367,120,120,2026-07-28
121,835,121,121,2025-01-10
122,986,122,122,2024-12-28
123,432,123,123,2026-06-19
124,164,124,124,2024-09-20
125,626,125,125,2025-03-07
126,943,126,126,2026-05-29
127,65,127,127,2025-12-15
128,895,128,128,2024-12-21
129,745,129,129,2024-11-02
130,860,130,130,2025-06-13
131,957,131,131,2025-11-28
