payment_id,payment_method,payment_status
1,Wallet,Paid
2,COD,Paid
3,UPI,Paid
4,Debit Card,Paid
5,Credit Card,Paid
6,Debit Card,Paid
7,COD,Paid
8,Debit Card,Paid
9,Credit Card,Paid
10,Credit Card,Paid
11,Wallet,Paid
12,Wallet,Paid
13,Debit Card,Paid
14,Credit Card,Paid
15,COD,Paid
16,Credit Card,Paid
17,Credit Card,Paid
18,Credit Card,Paid
19,UPI,Paid
20,Debit Card,Paid
21,Debit Card,Paid
22,UPI,Paid
23,Credit Card,Paid
24,UPI,Paid
25,Credit Card,Paid
26,COD,Paid
27,UPI,Paid
28,UPI,Paid
29,UPI,Paid
30,COD,Paid
31,COD,Paid
32,Credit Card,Paid
33,UPI,Paid
34,Debit Card,Paid
35,Wallet,Paid
36,Credit Card,Paid
37,Debit Card,Paid
38,UPI,Paid
39,COD,Paid
40,COD,Paid
41,Wallet,Paid
42,Debit Card,Paid
43,COD,Paid
44,Credit Card,Paid
45,UPI,Paid
46,Credit Card,Paid
47,COD,Paid
48,Credit Card,Paid
49,UPI,Paid
50,Debit Card,Paid
51,Wallet,Paid
52,Credit Card,Paid
53,UPI,Paid
54,COD,Paid
55,COD,Paid
56,Debit Card,Paid
57,Debit Card,Paid
58,COD,Paid
59,COD,Paid
60,UPI,Paid
61,COD,Paid
62,Credit Card,Paid
63,Wallet,Paid
64,Credit Card,Paid
65,Debit Card,Paid
66,Wallet,Paid
67,COD,Paid
68,Wallet,Paid
69,Debit Card,Paid
70,Credit Card,Paid
71,Credit Card,Paid
72,UPI,Paid
73,UPI,Paid
74,Debit Card,Paid
75,Credit Card,Paid
76,UPI,Paid
77,UPI,Paid
78,Debit Card,Paid
79,Wallet,Paid
80,Credit Card,Paid
81,COD,Paid
82,Wallet,Paid
83,COD,Paid
84,Wallet,Paid
85,Debit Card,Paid
86,Credit Card,Paid
87,Debit Card,Paid
88,UPI,Paid
89,Credit Card,Paid
90,COD,Paid
91,COD,Paid
92,Credit Card,Paid
93,Debit Card,Paid
94,Credit Card,Paid
95,UPI,Paid
96,COD,Paid
97,Debit Card,Paid
98,UPI,Paid
99,UPI,Paid
100,UPI,Paid
101,Wallet,Paid
102,Debit Card,Paid
103,COD,Paid
104,Credit Card,Paid
105,UPI,Paid
106,UPI,Paid
107,COD,Paid
108,Credit Card,Paid
109,Wallet,Paid
110,UPI,Paid
111,UPI,Paid
112,Wallet,Paid
113,UPI,Paid
114,COD,Paid
115,UPI,Paid
116,Wallet,Paid
117,COD,Paid
118,Credit Card,Paid
119,Debit Card,Paid
120,UPI,Paid
121,COD,Paid
122,Debit Card,Paid
123,COD,Paid
124,Credit Card,Paid
125,UPI,Paid
126,COD,Paid
127,COD,Paid
128,Debit Card,Paid
129,Debit Card,Paid
130,Credit Card,Paid
131,Wallet,Paid
132,Credit Card,Paid
133,UPI,Paid
134,Debit Card,Paid
135,Credit Card,Paid
136,COD,Paid
137,COD,Paid
138,Wallet,Paid
139,Wallet,Paid
140,UPI,Paid
141,Wallet,Paid
142,UPI,Paid
143,Debit Card,Paid
144,Credit Card,Paid
145,Wallet,Paid
146,Credit Card,Paid
147,COD,Paid
148,Wallet,Paid
149,UPI,Paid
150,Credit Card,Paid
151,Wallet,Paid
152,Wallet,Paid
153,Debit Card,Paid
154,Wallet,Paid
155,Wallet,Paid
156,Credit Card,Paid
157,Wallet,Paid
158,UPI,Paid
159,UPI,Paid
160,Credit Card,Paid
161,Debit Card,Paid
162,UPI,Paid
163,Debit Card,Paid
164,Debit Card,Paid
165,Credit Card,Paid
166,Debit Card,Paid
167,Credit Card,Paid
168,UPI,Paid
169,Debit Card,Paid
170,COD,Paid
171,UPI,Paid
172,Wallet,Paid
173,Credit Card,Paid
174,Wallet,Paid
175,Credit Card,Paid
176,Wallet,Paid
177,Debit Card,Paid
178,Debit Card,Paid
179,Debit Card,Paid
180,UPI,Paid
181,UPI,Paid
182,Credit Card,Paid
183,COD,Paid
184,Debit Card,Paid
185,Debit Card,Paid
186,COD,Paid
187,COD,Paid
188,Wallet,Paid
189,Debit Card,Paid
190,COD,Paid
191,Wallet,Paid
192,Wallet,Paid
193,Debit Card,Paid
194,Wallet,Paid
195,Debit Card,Paid
196,Credit Card,Paid
197,Wallet,Paid
198,UPI,Paid
199,COD,Paid
200,Credit Card,Paid
201,COD,Paid
202,Credit Card,Paid
203,UPI,Paid
204,COD,Paid
205,Debit Card,Paid
206,Debit Card,Paid
207,UPI,Paid
208,UPI,Paid
209,Wallet,Paid
210,Debit Card,Paid
211,Credit Card,Paid
212,Wallet,Paid
213,Credit Card,Paid
214,Credit Card,Paid
215,Credit Card,Paid
216,Credit Card,Paid
217,COD,Paid
218,Wallet,Paid
219,COD,Paid
220,Credit Card,Paid
221,Debit Card,Paid
222,Credit Card,Paid
223,Debit Card,Paid
224,Wallet,Paid
225,UPI,Paid
226,Credit Card,Paid
227,Wallet,Paid
228,UPI,Paid
229,Credit Card,Paid
230,Debit Card,Paid
231,COD,Paid
232,Wallet,Paid
233,Debit Card,Paid
234,Credit Card,Paid
235,Wallet,Paid
236,Wallet,Paid
237,UPI,Paid
