product_id,category_id,product_name,brand,cost_price,selling_price
1,4,Product 1,Brand 19,3845,6087.96
2,5,Product 2,Brand 16,2990,3361.74
3,8,Product 3,Brand 10,4994,7696.6
4,2,Product 4,Brand 14,4496,4963.98
5,6,Product 5,Brand 13,1197,1844.85
6,1,Product 6,Brand 19,3097,3476.76
7,9,Product 7,Brand 10,4702,5629.83
8,8,Product 8,Brand 18,702,907.81
9,10,Product 9,Brand 20,2391,3616.76
10,2,Product 10,Brand 13,1073,1249.33
11,6,Product 11,Brand 18,3157,4727.45
12,4,Product 12,Brand 20,3095,4572.81
13,1,Product 13,Brand 2,4270,5553.96
14,6,Product 14,Brand 16,418,488.44
15,10,Product 15,Brand 17,4354,5784.26
16,10,Product 16,Brand 11,1245,1573.66
17,10,Product 17,Brand 10,1431,1855.26
18,9,Product 18,Brand 18,4963,6294.01
19,5,Product 19,Brand 16,4112,5980.37
20,2,Product 20,Brand 14,236,303.07
21,1,Product 21,Brand 20,4881,6119.99
22,10,Product 22,Brand 19,3987,4915.03
23,10,Product 23,Brand 16,1964,2868.81
24,10,Product 24,Brand 13,1496,2037.73
25,4,Product 25,Brand 2,1310,1979.19
26,2,Product 26,Brand 7,4790,7539.95
27,7,Product 27,Brand 5,255,336.73
28,7,Product 28,Brand 17,3482,5032.36
29,1,Product 29,Brand 5,3963,6088.79
30,6,Product 30,Brand 16,4349,5234.76
31,3,Product 31,Brand 15,4404,5674.17
32,6,Product 32,Brand 9,4467,5678.29
33,4,Product 33,Brand 9,4066,4863.47
34,5,Product 34,Brand 10,4671,5835.24
35,8,Product 35,Brand 11,1798,2598.33
36,5,Product 36,Brand 10,4030,5135.84
37,9,Product 37,Brand 13,1098,1522.64
38,3,Product 38,Brand 10,3332,5028.62
39,2,Product 39,Brand 12,444,552.25
40,8,Product 40,Brand 7,3723,5316.39
41,5,Product 41,Brand 18,1755,2657.03
42,10,Product 42,Brand 19,2325,2717.08
43,9,Product 43,Brand 8,2060,2515.73
44,7,Product 44,Brand 11,2007,2260.37
45,3,Product 45,Brand 1,3969,4565.43
46,3,Product 46,Brand 14,4608,7321.91
