return_id,order_item_id,return_reason,return_date,refund_amount
1,12,Damaged,2025-10-14,4063.89
2,28,Damaged,2025-08-19,8194.67
3,31,Damaged,2025-10-12,15263.11
4,33,Damaged,2026-07-07,2255.39
5,41,Damaged,2025-10-03,12305.59
6,106,Damaged,2026-07-03,2715.51
7,124,Damaged,2025-09-12,12171.85
8,150,Damaged,2025-11-29,636.11
9,157,Damaged,2026-05-21,19703.94
10,163,Damaged,2026-04-16,18274.71
11,168,Damaged,2025-08-10,17433.21
12,175,Damaged,2026-06-11,5928.77
13,178,Damaged,2026-01-28,2338.94
14,184,Damaged,2025-11-17,15460.4
15,190,Damaged,2025-11-11,1573.06
16,197,Damaged,2026-01-23,12284.87
17,210,Damaged,2026-05-07,21636.29
18,244,Damaged,2026-01-25,7542.67
19,260,Damaged,2026-02-18,20113.92
20,273,Damaged,2025-08-12,24744.79
21,280,Damaged,2026-01-05,744.08
22,289,Damaged,2025-08-16,2331.2
23,296,Damaged,2026-03-10,820.23
24,298,Damaged,2025-09-09,7619.42
25,300,Damaged,2026-01-11,2424.82
26,324,Damaged,2025-12-10,31651.41
27,325,Damaged,2026-02-19,17512.77
28,329,Damaged,2025-10-30,19724.34
29,335,Damaged,2025-12-19,8508.75
30,342,Damaged,2026-04-23,12766.3
31,349,Damaged,2026-07-19,5516.85
32,365,Damaged,2025-08-11,12758.24
33,368,Damaged,2026-03-01,2596.59
34,377,Damaged,2026-03-31,12651.4
35,382,Damaged,2026-02-19,7110.87
36,395,Damaged,2026-03-10,15327.61
37,418,Damaged,2025-08-12,4916.85
38,426,Damaged,2025-12-08,23124.0
39,427,Damaged,2026-02-18,5427.97
40,428,Damaged,2026-02-20,6788.33
41,441,Damaged,2026-01-22,956.39
42,481,Damaged,2025-08-22,9290.84
43,486,Damaged,2026-06-08,16354.79
44,488,Damaged,2025-10-02,5336.71
45,490,Damaged,2025-09-01,1570.06
46,493,Damaged,2025-11-08,4894.56
47,502,Damaged,2025-09-04,1833.31
48,512,Damaged,2026-01-13,6074.43
49,516,Damaged,2026-03-27,6454.76
50,524,Damaged,2025-08-22,8189.52
51,529,Damaged,2026-03-10,5846.54
52,530,Damaged,2026-04-29,2547.57
53,531,Damaged,2026-06-16,16057.8
54,546,Damaged,2026-02-15,7112.71
55,556,Damaged,2026-04-07,5344.29
56,565,Damaged,2025-11-13,8490.65
57,575,Damaged,2025-08-25,8099.58
58,579,Damaged,2026-05-25,19718.8
59,586,Damaged,2025-08-26,5024.69
60,587,Damaged,2025-08-15,993.06
61,590,Damaged,2025-10-15,723.11
62,624,Damaged,2026-04-10,11647.85
63,638,Damaged,2026-04-04,15452.67
64,644,Damaged,2026-05-20,14004.12
65,669,Damaged,2026-05-24,1511.5
66,674,Damaged,2025-12-13,5022.1
67,679,Damaged,2026-07-12,4806.32
68,688,Damaged,2026-04-17,4568.56
69,689,Damaged,2025-11-08,14086.37
70,700,Damaged,2026-05-10,14587.9
71,703,Damaged,2025-08-25,4073.34
72,733,Damaged,2026-02-20,903.19
73,742,Damaged,2026-03-22,267.37
74,760,Damaged,2026-05-25,4571.0
75,764,Damaged,2026-02-13,12286.32
76,769,Damaged,2025-11-16,1350.07
77,777,Damaged,2026-04-19,19598.99
78,783,Damaged,2025-12-21,2008.75
79,788,Damaged,2025-11-02,19417.0
80,812,Damaged,2026-02-16,11058.71
81,814,Damaged,2026-05-23,21013.92
82,840,Damaged,2025-11-14,5730.02
83,846,Damaged,2026-07-28,3040.51
84,847,Damaged,2026-05-11,2761.03
85,850,Damaged,2025-10-02,501.92
86,855,Damaged,2025-12-22,7897.02
87,870,Damaged,2025-08-07,7407.69
88,871,Damaged,2025-10-14,2605.34
89,891,Damaged,2026-04-21,4423.65
90,896,Damaged,2026-01-28,7223.43
91,898,Damaged,2026-03-08,7537.12
92,909,Damaged,2026-03-04,589.31
93,913,Damaged,2025-10-23,1342.52
94,917,Damaged,2025-12-11,3426.28
95,920,Damaged,2025-08-25,1000.18
96,924,Damaged,2025-08-12,3726.11
97,927,Damaged,2025-08-29,7797.79
98,928,Damaged,2026-03-30,25598.7
99,930,Damaged,2025-10-15,21260.46
100,935,Damaged,2025-10-03,2945.82
101,951,Damaged,2026-03-28,4914.24
102,955,Damaged,2026-07-14,6280.23
103,964,Damaged,2025-11-23,4418.78
104,969,Damaged,2025-12-05,15264.34
105,971,Damaged,2025-10-10,19738.71
106,977,Damaged,2025-08-06,15077.96
107,979,Damaged,2026-03-31,5989.39
108,983,Damaged,2025-11-15,4863.34
109,986,Damaged,2026-07-14,3465.6
110,1008,Damaged,2026-04-09,23130.77
111,1010,Damaged,2026-05-15,5523.66
112,1025,Damaged,2025-12-22,8140.69
113,1030,Damaged,2026-03-09,14376.72
114,1035,Damaged,2026-03-15,1906.86
115,1043,Damaged,2025-11-14,12758.87
116,1045,Damaged,2026-08-03,16210.32
117,1067,Damaged,2026-04-08,3262.82
118,1078,Damaged,2026-06-09,1564.55
119,1087,Damaged,2026-06-19,23087.87
120,1103,Damaged,2025-08-09,7538.1
121,1111,Damaged,2026-01-22,17351.03
122,1120,Damaged,2026-05-18,1448.96
123,1128,Damaged,2025-11-09,7655.82
124,1131,Damaged,2026-07-23,4349.32
125,1138,Damaged,2025-10-18,7233.84
126,1140,Damaged,2025-10-04,3515.84
127,1145,Damaged,2026-03-02,20929.56
128,1149,Damaged,2025-11-17,9791.83
129,1153,Damaged,2026-07-24,877.53
130,1167,Damaged,2026-06-24,7895.99
131,1168,Damaged,2026-06-06,3820.82
132,1218,Damaged,2026-05-24,2627.37
133,1223,Damaged,2026-02-23,13600.54
134,1237,Damaged,2025-09-24,5774.6
135,1287,Damaged,2025-09-30,10722.41
136,1300,Damaged,2025-08-13,13578.32
137,1302,Damaged,2025-12-30,2580.11
138,1308,Damaged,2026-01-01,4641.92
139,1332,Damaged,2025-10-17,11667.61
140,1346,Damaged,2025-08-26,638.32
141,1347,Damaged,2025-09-29,1346.97
142,1354,Damaged,2025-10-29,10392.04
143,1360,Damaged,2025-12-18,2366.35
144,1390,Damaged,2026-06-01,6771.63
145,1427,Damaged,2025-11-29,20926.1
146,1446,Damaged,2025-10-07,342.76
147,1455,Damaged,2025-12-17,18900.32
148,1462,Damaged,2026-06-28,3730.9
149,1474,Damaged,2026-06-27,10692.78
150,1510,Damaged,2026-05-05,9682.66
151,1511,Damaged,2025-10-24,7775.54
152,1513,Damaged,2026-05-19,7548.43
153,1517,Damaged,2025-08-30,2364.47
154,1536,Damaged,2025-11-05,4942.73
155,1552,Damaged,2026-01-19,2583.08
156,1562,Damaged,2026-04-13,2265.06
157,1563,Damaged,2026-02-28,22687.36
158,1564,Damaged,2025-09-25,7961.83
159,1576,Damaged,2026-05-12,4555.29
160,1577,Damaged,2026-04-10,10055.58
161,1582,Damaged,2026-02-22,12838.49
162,1584,Damaged,2026-07-23,11259.1
163,1614,Damaged,2025-10-16,6281.43
164,1616,Damaged,2026-07-18,9849.22
165,1653,Damaged,2026-04-12,10297.31
166,1654,Damaged,2026-03-29,14423.49
167,1663,Damaged,2026-02-09,2633.23
168,1670,Damaged,2026-06-25,1097.17
169,1678,Damaged,2025-11-26,10073.72
170,1695,Damaged,2026-06-25,19446.83
171,1699,Damaged,2026-05-02,5647.99
172,1710,Damaged,2026-01-29,28031.63
173,1717,Damaged,2026-07-06,16292.83
174,1751,Damaged,2026-03-13,16981.16
175,1787,Damaged,2026-03-03,11020.89
176,1800,Damaged,2025-11-04,5620.47
177,1831,Damaged,2026-05-11,3628.61
178,1852,Damaged,2025-12-03,25084.54
179,1853,Damaged,2025-08-23,6084.42
180,1862,Damaged,2025-12-26,5668.8
181,1870,Damaged,2026-03-13,2783.29
182,1876,Damaged,2026-03-27,2412.51
183,1879,Damaged,2026-03-20,11841.84
184,1887,Damaged,2025-12-06,7536.42
185,1895,Damaged,2026-07-26,1911.29
186,1904,Damaged,2026-06-06,4824.39
