shipping_id,warehouse_id,shipping_partner,shipping_cost,delivery_days,delivery_status
1,1,DTDC,223,4,Delivered
2,3,Ekart,238,3,Delivered
3,3,Blue Dart,55,7,Delivered
4,1,DTDC,223,7,Delivered
5,2,Delhivery,166,6,Delivered
6,5,Delhivery,152,5,Delivered
7,3,Blue Dart,130,2,Delivered
8,3,Delhivery,220,5,Delivered
9,5,Blue Dart,292,5,Delivered
10,4,Delhivery,86,1,Delivered
11,2,Delhivery,284,1,Delivered
12,2,Blue Dart,214,6,Delivered
13,1,Delhivery,115,5,Delivered
14,1,Ekart,77,3,Delivered
15,5,Delhivery,212,3,Delivered
16,2,DTDC,289,6,Delivered
17,5,Ekart,154,6,Delivered
18,4,Ekart,190,2,Delivered
19,5,DTDC,56,2,Delivered
20,5,Blue Dart,93,4,Delivered
21,1,Blue Dart,217,3,Delivered
22,3,DTDC,45,3,Delivered
23,1,Ekart,171,7,Delivered
24,1,DTDC,264,6,Delivered
25,4,DTDC,233,3,Delivered
26,1,DTDC,155,2,Delivered
27,1,Ekart,50,3,Delivered
28,1,Ekart,127,4,Delivered
29,5,Delhivery,213,5,Delivered
30,1,DTDC,124,5,Delivered
31,2,Delhivery,91,3,Delivered
32,4,Ekart,184,3,Delivered
33,1,DTDC,291,2,Delivered
34,1,DTDC,84,3,Delivered
35,4,Blue Dart,89,1,Delivered
36,3,Delhivery,282,7,Delivered
37,4,DTDC,290,6,Delivered
38,5,DTDC,134,3,Delivered
39,3,Blue Dart,268,1,Delivered
40,4,Ekart,155,7,Delivered
41,1,Blue Dart,89,1,Delivered
42,5,DTDC,156,5,Delivered
43,5,DTDC,283,5,Delivered
44,4,Ekart,80,4,Delivered
45,5,Blue Dart,101,7,Delivered
46,2,Blue Dart,138,2,Delivered
47,1,DTDC,143,7,Delivered
48,5,Ekart,203,6,Delivered
49,1,DTDC,243,5,Delivered
50,5,DTDC,46,7,Delivered
51,5,DTDC,97,4,Delivered
52,5,Delhivery,94,5,Delivered
53,3,Ekart,250,3,Delivered
54,5,DTDC,59,2,Delivered
55,2,DTDC,59,4,Delivered
56,2,Delhivery,283,3,Delivered
57,1,Ekart,195,3,Delivered
58,1,Blue Dart,108,3,Delivered
59,3,Ekart,253,5,Delivered
60,2,DTDC,148,7,Delivered
61,5,Ekart,68,5,Delivered
62,1,Ekart,299,4,Delivered
63,5,Delhivery,128,2,Delivered
64,1,Blue Dart,56,4,Delivered
65,2,Ekart,228,7,Delivered
66,4,Delhivery,55,2,Delivered
67,5,DTDC,130,7,Delivered
68,5,Ekart,216,2,Delivered
69,1,Ekart,54,4,Delivered
70,5,Blue Dart,153,6,Delivered
71,3,DTDC,50,7,Delivered
72,4,Blue Dart,128,5,Delivered
73,2,Ekart,196,6,Delivered
74,4,DTDC,218,4,Delivered
75,4,Ekart,243,5,Delivered
76,5,Ekart,184,3,Delivered
77,4,Delhivery,212,3,Delivered
78,3,Ekart,192,2,Delivered
79,2,Delhivery,246,6,Delivered
80,1,DTDC,191,3,Delivered
81,4,DTDC,58,5,Delivered
82,2,Ekart,153,6,Delivered
83,3,Ekart,127,7,Delivered
84,2,Ekart,89,4,Delivered
85,5,Blue Dart,211,6,Delivered
86,3,Blue Dart,197,4,Delivered
87,3,Ekart,190,4,Delivered
88,4,Delhivery,76,4,Delivered
89,5,Delhivery,235,5,Delivered
90,1,Blue Dart,110,2,Delivered
91,5,DTDC,113,3,Delivered
92,1,DTDC,210,6,Delivered
93,1,Delhivery,271,3,Delivered
94,5,Blue Dart,290,7,Delivered
95,2,DTDC,259,4,Delivered
96,4,Delhivery,59,5,Delivered
97,1,Ekart,137,1,Delivered
98,2,Blue Dart,216,3,Delivered
99,4,Ekart,125,1,Delivered
100,3,Ekart,273,6,Delivered
101,5,Ekart,262,6,Delivered
102,4,Ekart,136,2,Delivered
103,1,Blue Dart,154,6,Delivered
104,1,Blue Dart,103,3,Delivered
105,4,Ekart,64,5,Delivered
106,1,Delhivery,99,4,Delivered
107,1,Ekart,282,6,Delivered
108,1,Ekart,255,6,Delivered
109,3,Blue Dart,254,7,Delivered
110,5,Delhivery,184,1,Delivered
111,4,Blue Dart,142,7,Delivered
112,2,Ekart,249,3,Delivered
113,5,DTDC,146,6,Delivered
114,3,Blue Dart,41,1,Delivered
115,1,DTDC,116,1,Delivered
116,1,Delhivery,171,6,Delivered
117,3,Ekart,277,1,Delivered
118,1,Ekart,224,7,Delivered
119,4,Delhivery,88,7,Delivered
120,1,Blue Dart,127,3,Delivered
121,5,Ekart,87,3,Delivered
122,2,Delhivery,245,4,Delivered
123,3,DTDC,284,7,Delivered
124,1,Blue Dart,70,7,Delivered
125,4,DTDC,264,2,Delivered
126,3,Delhivery,106,4,Delivered
127,1,DTDC,265,1,Delivered
128,3,Delhivery,154,6,Delivered
129,5,Delhivery,261,6,Delivered
130,4,Ekart,237,2,Delivered
131,5,Delhivery,45,6,Delivered
132,5,DTDC,293,7,Delivered
133,4,Ekart,163,3,Delivered
134,1,Blue Dart,233,4,Delivered
135,1,DTDC,267,7,Delivered
136,1,DTDC,268,3,Delivered
137,1,Delhivery,246,4,Delivered
138,5,Delhivery,86,7,Delivered
139,3,Blue Dart,273,3,Delivered
140,2,DTDC,209,5,Delivered
141,5,DTDC,226,6,Delivered
142,1,Blue Dart,41,3,Delivered
143,5,Ekart,94,1,Delivered
144,4,Blue Dart,249,1,Delivered
145,2,Blue Dart,101,7,Delivered
146,4,Blue Dart,213,1,Delivered
