customer_id,last_purchase,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,segment
1,2026-03-19,7,145266.61,139,2,4,5,11,Loyal Customers
2,2026-07-23,6,150147.15,13,5,4,5,14,Champions
3,2026-07-18,5,92224.97,18,5,3,3,11,Loyal Customers
4,2026-05-13,9,103049.34999999999,84,3,5,4,12,Loyal Customers
5,2026-04-30,5,115315.17,97,3,3,4,10,Loyal Customers
6,2026-07-19,6,118762.42,17,5,4,4,13,Champions
7,2026-04-14,5,64863.14,113,3,3,2,8,Potential Loyalists
8,2026-07-29,4,41578.22,7,5,2,1,8,Potential Loyalists
9,2026-08-05,7,124440.36,0,5,4,4,13,Champions
10,2025-07-04,8,108849.28,397,1,5,4,10,Loyal Customers
11,2026-07-31,9,163449.82,5,5,5,5,15,Champions
12,2026-02-11,4,58490.42,175,2,2,2,6,At Risk
13,2026-05-31,3,80764.28,66,4,1,3,8,Potential Loyalists
14,2026-07-31,7,100843.5,5,5,4,4,13,Champions
15,2026-01-06,4,47814.34,211,2,2,2,6,At Risk
16,2026-05-18,7,127981.64,79,3,4,4,11,Loyal Customers
17,2026-07-12,8,129890.41,24,5,5,4,14,Champions
18,2026-07-19,7,124989.5,17,5,4,4,13,Champions
19,2026-03-28,2,53100.24,130,3,1,2,6,At Risk
20,2026-04-14,2,27592.97,113,3,1,1,5,Lost Customers
21,2026-08-02,5,93550.15,3,5,3,3,11,Loyal Customers
23,2026-08-04,5,95617.66,1,5,3,3,11,Loyal Customers
24,2026-06-21,7,112557.95999999999,45,4,4,4,12,Loyal Customers
25,2026-05-24,9,126947.09,73,4,5,4,13,Champions
26,2026-06-04,7,164622.81,62,4,4,5,13,Champions
27,2026-05-05,6,204253.24,92,3,4,5,12,Loyal Customers
28,2026-03-21,6,70445.92,137,2,4,2,8,Potential Loyalists
29,2025-11-24,6,151056.75,254,1,4,5,10,Loyal Customers
30,2026-05-15,9,129083.63,82,3,5,4,12,Loyal Customers
31,2026-06-28,7,114975.12,38,4,4,4,12,Loyal Customers
32,2026-03-10,5,139086.19,148,2,3,5,10,Loyal Customers
33,2025-07-07,3,45706.39,394,1,1,1,3,Lost Customers
34,2026-07-20,9,172312.7,16,5,5,5,15,Champions
35,2026-02-19,5,81505.20999999999,167,2,3,3,8,Potential Loyalists
36,2025-06-12,3,75093.51,419,1,1,3,5,Lost Customers
37,2025-09-04,4,37825.81,335,1,2,1,4,Lost Customers
38,2026-07-18,6,130326.5,18,5,4,4,13,Champions
39,2026-01-08,5,114855.36,209,2,3,4,9,Potential Loyalists
40,2025-12-12,9,187123.09,236,1,5,5,11,Loyal Customers
41,2024-12-29,4,53430.51,584,1,2,2,5,Lost Customers
42,2026-06-04,8,143590.28,62,4,5,5,14,Champions
43,2026-05-22,4,70056.35,75,4,2,2,8,Potential Loyalists
44,2026-05-05,5,134053.56,92,3,3,4,10,Loyal Customers
45,2026-07-18,4,67634.78,18,5,2,2,9,Potential Loyalists
46,2026-07-19,7,84048.81,17,5,4,3,12,Loyal Customers
47,2026-02-10,5,116525.45999999999,176,2,3,4,9,Potential Loyalists
48,2026-03-21,3,87547.64,137,2,1,3,6,At Risk
49,2026-06-14,4,80667.96,52,4,2,3,9,Potential Loyalists
50,2026-06-26,6,138926.28,40,4,4,5,13,Champions
51,2026-08-02,11,196874.58000000002,3,5,5,5,15,Champions
52,2025-10-06,3,113448.74,303,1,1,4,6,At Risk
53,2026-06-08,6,116705.88,58,4,4,4,12,Loyal Customers
54,2026-04-16,6,90230.98,111,3,4,3,10,Loyal Customers
55,2025-01-30,2,59475.420000000006,552,1,1,2,4,Lost Customers
56,2025-09-21,3,62326.65,318,1,1,2,4,Lost Customers
57,2026-07-19,7,159433.73,17,5,4,5,14,Champions
58,2025-01-29,1,38706.44,553,1,1,1,3,Lost Customers
59,2026-07-31,7,134127.1,5,5,4,4,13,Champions
60,2026-01-09,7,176468.38999999998,208,2,4,5,11,Loyal Customers
61,2025-11-26,1,18857.22,252,1,1,1,3,Lost Customers
62,2026-06-13,2,39774.1,53,4,1,1,6,At Risk
63,2026-08-03,8,99671.92,2,5,5,3,13,Champions
64,2026-02-02,3,26313.45,184,2,1,1,4,Lost Customers
65,2026-07-03,6,76367.5,33,4,4,3,11,Loyal Customers
66,2026-07-17,6,88002.47,19,5,4,3,12,Loyal Customers
67,2026-05-10,7,160448.16,87,3,4,5,12,Loyal Customers
68,2026-03-03,6,106664.66,155,2,4,4,10,Loyal Customers
69,2026-03-06,8,166916.03,152,2,5,5,12,Loyal Customers
70,2026-01-11,5,72528.08,206,2,3,2,7,At Risk
71,2026-07-14,6,86434.17,22,5,4,3,12,Loyal Customers
72,2026-06-26,3,49824.0,40,4,1,2,7,At Risk
73,2025-11-20,1,21714.03,258,1,1,1,3,Lost Customers
74,2026-04-27,4,77180.44,100,3,2,3,8,Potential Loyalists
75,2026-03-26,8,160153.52,132,3,5,5,13,Champions
76,2026-04-25,5,33493.21,102,3,3,1,7,At Risk
77,2026-04-06,3,70466.73000000001,121,3,1,2,6,At Risk
78,2026-04-06,3,54139.83,121,3,1,2,6,At Risk
79,2026-07-21,5,96891.34,15,5,3,3,11,Loyal Customers
80,2026-07-14,6,133293.54,22,5,4,4,13,Champions
81,2026-05-11,7,162785.83000000002,86,3,4,5,12,Loyal Customers
82,2026-08-02,8,180280.51,3,5,5,5,15,Champions
83,2026-01-30,3,23853.85,187,2,1,1,4,Lost Customers
84,2026-06-13,6,107623.24,53,4,4,4,12,Loyal Customers
85,2026-05-11,6,135452.2,86,3,4,5,12,Loyal Customers
86,2025-11-20,4,80057.14,258,1,2,3,6,At Risk
87,2026-03-06,6,90577.52,152,2,4,3,9,Potential Loyalists
88,2026-06-10,4,80515.45999999999,56,4,2,3,9,Potential Loyalists
89,2026-07-24,6,105046.36,12,5,4,4,13,Champions
90,2026-07-03,1,37358.7,33,4,1,1,6,At Risk
91,2025-10-18,2,35338.840000000004,291,1,1,1,3,Lost Customers
92,2025-11-02,4,105944.56,276,1,2,4,7,At Risk
93,2026-07-02,6,135188.33,34,4,4,5,13,Champions
94,2026-06-27,4,25447.95,39,4,2,1,7,At Risk
95,2026-05-13,7,188854.7,84,3,4,5,12,Loyal Customers
96,2025-12-26,4,75977.91,222,2,2,3,7,At Risk
97,2026-06-24,8,228057.54,42,4,5,5,14,Champions
98,2026-06-26,6,74465.24,40,4,4,2,10,Loyal Customers
99,2026-07-11,4,98580.75,25,5,2,3,10,Loyal Customers
100,2026-03-28,6,119926.37999999999,130,3,4,4,11,Loyal Customers
101,2025-07-31,4,80601.75,370,1,2,3,6,At Risk
102,2026-03-24,6,108004.02,134,2,4,4,10,Loyal Customers
103,2025-12-12,7,189438.99,236,1,4,5,10,Loyal Customers
104,2026-03-25,4,97930.15,133,3,2,3,8,Potential Loyalists
105,2026-03-24,4,37381.56,134,2,2,1,5,Lost Customers
106,2026-07-30,7,144103.08000000002,6,5,4,5,14,Champions
107,2026-03-27,2,69179.32,131,3,1,2,6,At Risk
108,2025-06-11,3,141376.87,420,1,1,5,7,At Risk
109,2026-07-25,7,141360.08000000002,11,5,4,5,14,Champions
110,2026-06-09,7,137843.73,57,4,4,5,13,Champions
111,2026-05-06,6,75766.41,91,3,4,3,10,Loyal Customers
112,2026-04-01,11,230263.22,126,3,5,5,13,Champions
113,2026-06-28,8,149622.05,38,4,5,5,14,Champions
114,2026-06-27,5,45180.96,39,4,3,1,8,Potential Loyalists
115,2026-01-03,4,42784.06,214,2,2,1,5,Lost Customers
116,2025-06-21,4,40137.56,410,1,2,1,4,Lost Customers
117,2026-04-07,7,77378.28,120,3,4,3,10,Loyal Customers
118,2026-04-02,7,135935.13,125,3,4,5,12,Loyal Customers
119,2026-02-24,2,34814.64,162,2,1,1,4,Lost Customers
120,2026-06-25,7,126147.64,41,4,4,4,12,Loyal Customers
121,2026-02-09,7,148991.91,177,2,4,5,11,Loyal Customers
122,2026-07-12,9,235902.56,24,5,5,5,15,Champions
123,2026-04-14,4,97455.89,113,3,2,3,8,Potential Loyalists
124,2026-07-20,7,94853.66,16,5,4,3,12,Loyal Customers
125,2025-01-18,1,7629.639999999999,564,1,1,1,3,Lost Customers
126,2026-06-26,4,89598.44,40,4,2,3,9,Potential Loyalists
